timestamp,service_type,container_id,avg_p_latency,s_config,cores,rps,throughput,cooldown
2026-05-04 17:45:09.477202,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,21,"{'data_quality': 550, 'parallelism': 1}",8.0,-1,80,-1
2026-05-04 17:45:09.480368,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,232,"{'data_quality': 224, 'model_size': 3, 'parallelism': 1}",8.0,-1,4,-1
2026-05-04 17:45:09.489531,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 30, 'model_size': 1, 'parallelism': 1}",8.0,-1,50,-1
2026-05-04 17:45:19.472464,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,2,"{'data_quality': 131, 'parallelism': 1}",1.0,-1,80,-1
2026-05-04 17:45:19.479284,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,-1,"{'data_quality': 306, 'model_size': 2, 'parallelism': 1}",1.0,-1,0,-1
2026-05-04 17:45:19.485901,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 57, 'model_size': 1, 'parallelism': 1}",8.0,-1,50,-1
2026-05-04 17:45:29.473270,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,10,"{'data_quality': 368, 'parallelism': 1}",8.0,-1,80,-1
2026-05-04 17:45:29.476387,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,-1,"{'data_quality': 306, 'model_size': 2, 'parallelism': 1}",1.0,-1,0,-1
2026-05-04 17:45:29.480302,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 32, 'model_size': 1, 'parallelism': 1}",2.0,-1,50,-1
2026-05-04 17:45:39.473476,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,12,"{'data_quality': 423, 'parallelism': 1}",8.0,-1,80,-1
2026-05-04 17:45:39.476758,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,68,"{'data_quality': 259, 'model_size': 3, 'parallelism': 1}",5.0,-1,0,-1
2026-05-04 17:45:39.485859,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 26, 'model_size': 1, 'parallelism': 1}",1.0,-1,50,-1
2026-05-04 17:45:49.473654,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,18,"{'data_quality': 516, 'parallelism': 1}",8.0,-1,80,-1
2026-05-04 17:45:49.476785,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,600,"{'data_quality': 166, 'model_size': 3, 'parallelism': 1}",2.0,-1,0,-1
2026-05-04 17:45:49.479647,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,3,"{'data_quality': 15, 'model_size': 1, 'parallelism': 1}",1.0,-1,50,-1
2026-05-04 17:45:59.474385,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,22,"{'data_quality': 525, 'parallelism': 1}",2.0,-1,80,-1
2026-05-04 17:45:59.479862,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,103,"{'data_quality': 232, 'model_size': 1, 'parallelism': 1}",8.0,-1,5,-1
2026-05-04 17:45:59.493866,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,6,"{'data_quality': 54, 'model_size': 1, 'parallelism': 1}",3.0,-1,50,-1
2026-05-04 17:46:09.475434,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,4,"{'data_quality': 218, 'parallelism': 1}",6.0,-1,80,-1
2026-05-04 17:46:09.478422,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,39,"{'data_quality': 170, 'model_size': 1, 'parallelism': 1}",8.0,-1,5,-1
2026-05-04 17:46:09.481328,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 31, 'model_size': 1, 'parallelism': 1}",2.0,-1,50,-1
2026-05-04 17:46:19.476935,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,69,"{'data_quality': 976, 'parallelism': 1}",8.0,-1,80,-1
2026-05-04 17:46:19.479795,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,526,"{'data_quality': 251, 'model_size': 2, 'parallelism': 1}",4.0,-1,1,-1
2026-05-04 17:46:19.482889,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,6,"{'data_quality': 57, 'model_size': 1, 'parallelism': 1}",8.0,-1,50,-1
2026-05-04 17:46:29.476630,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,48,"{'data_quality': 837, 'parallelism': 1}",8.0,-1,80,-1
