timestamp,service_type,container_id,avg_p_latency,s_config,cores,rps,throughput,cooldown
2026-05-05 18:00:52.516248,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,4,"{'data_quality': 220, 'parallelism': 1}",5.3,-1,80,-1
2026-05-05 18:00:52.521957,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,274,"{'data_quality': 209, 'model_size': 1, 'parallelism': 1}",1.19,-1,0,-1
2026-05-05 18:00:52.525118,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 44, 'model_size': 1, 'parallelism': 1}",1.0,-1,50,-1
2026-05-05 18:01:02.513721,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,6,"{'data_quality': 220, 'parallelism': 1}",5.3,-1,80,-1
2026-05-05 18:01:02.516828,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,509,"{'data_quality': 209, 'model_size': 1, 'parallelism': 1}",1.19,-1,0,-1
2026-05-05 18:01:02.519637,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 44, 'model_size': 1, 'parallelism': 1}",1.0,-1,50,-1
2026-05-05 18:01:12.515743,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,6,"{'data_quality': 220, 'parallelism': 1}",5.3,-1,80,-1
2026-05-05 18:01:12.525822,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,200,"{'data_quality': 209, 'model_size': 1, 'parallelism': 1}",1.19,-1,0,-1
2026-05-05 18:01:12.529456,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 44, 'model_size': 1, 'parallelism': 1}",1.0,-1,50,-1
2026-05-05 18:01:22.515346,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,6,"{'data_quality': 220, 'parallelism': 1}",5.3,-1,80,-1
2026-05-05 18:01:22.518222,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,-1,"{'data_quality': 209, 'model_size': 1, 'parallelism': 1}",1.19,-1,0,-1
2026-05-05 18:01:22.521195,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 44, 'model_size': 1, 'parallelism': 1}",1.0,-1,50,-1
2026-05-05 18:01:32.515634,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,6,"{'data_quality': 220, 'parallelism': 1}",5.3,-1,80,-1
2026-05-05 18:01:32.518468,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,449,"{'data_quality': 209, 'model_size': 1, 'parallelism': 1}",1.19,-1,0,-1
2026-05-05 18:01:32.521021,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 44, 'model_size': 1, 'parallelism': 1}",1.0,-1,50,-1
2026-05-05 18:01:42.516542,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,7,"{'data_quality': 220, 'parallelism': 1}",5.3,-1,80,-1
2026-05-05 18:01:42.519779,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,134,"{'data_quality': 209, 'model_size': 1, 'parallelism': 1}",1.19,-1,0,-1
2026-05-05 18:01:42.523473,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 44, 'model_size': 1, 'parallelism': 1}",1.0,-1,50,-1
2026-05-05 18:01:52.517979,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,6,"{'data_quality': 220, 'parallelism': 1}",5.3,-1,80,-1
2026-05-05 18:01:52.521789,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,549,"{'data_quality': 209, 'model_size': 1, 'parallelism': 1}",1.19,-1,0,-1
2026-05-05 18:01:52.525268,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 44, 'model_size': 1, 'parallelism': 1}",1.0,-1,50,-1
2026-05-05 18:02:02.517877,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,7,"{'data_quality': 220, 'parallelism': 1}",5.3,-1,80,-1
2026-05-05 18:02:02.520977,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,162,"{'data_quality': 209, 'model_size': 1, 'parallelism': 1}",1.19,-1,0,-1
2026-05-05 18:02:02.523889,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 44, 'model_size': 1, 'parallelism': 1}",1.0,-1,50,-1
2026-05-05 18:02:12.517856,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,7,"{'data_quality': 220, 'parallelism': 1}",5.3,-1,80,-1
2026-05-05 18:02:12.520902,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,-1,"{'data_quality': 209, 'model_size': 1, 'parallelism': 1}",1.19,-1,0,-1
2026-05-05 18:02:12.533819,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 44, 'model_size': 1, 'parallelism': 1}",1.0,-1,50,-1
2026-05-05 18:02:22.519271,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,6,"{'data_quality': 220, 'parallelism': 1}",5.3,-1,80,-1
2026-05-05 18:02:22.522037,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,-1,"{'data_quality': 209, 'model_size': 1, 'parallelism': 1}",1.19,-1,0,-1
2026-05-05 18:02:22.524964,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 44, 'model_size': 1, 'parallelism': 1}",1.0,-1,50,-1
2026-05-05 18:02:32.520268,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,4,"{'data_quality': 195, 'parallelism': 1}",5.97,-1,80,-1
2026-05-05 18:02:32.523597,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,28,"{'data_quality': 128, 'model_size': 1, 'parallelism': 1}",8.0,-1,5,-1
2026-05-05 18:02:32.526930,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,3,"{'data_quality': 11, 'model_size': 1, 'parallelism': 1}",1.06,-1,50,-1
2026-05-05 18:02:42.520853,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,4,"{'data_quality': 195, 'parallelism': 1}",5.97,-1,80,-1
2026-05-05 18:02:42.523794,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,33,"{'data_quality': 128, 'model_size': 1, 'parallelism': 1}",8.0,-1,5,-1
2026-05-05 18:02:42.526528,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,3,"{'data_quality': 11, 'model_size': 1, 'parallelism': 1}",1.06,-1,50,-1
2026-05-05 18:02:52.521397,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,4,"{'data_quality': 195, 'parallelism': 1}",5.97,-1,80,-1
2026-05-05 18:02:52.524434,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,24,"{'data_quality': 128, 'model_size': 1, 'parallelism': 1}",8.0,-1,5,-1
2026-05-05 18:02:52.527301,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,3,"{'data_quality': 11, 'model_size': 1, 'parallelism': 1}",1.06,-1,50,-1
2026-05-05 18:03:02.528833,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,4,"{'data_quality': 195, 'parallelism': 1}",5.97,-1,80,-1
2026-05-05 18:03:02.531768,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,18,"{'data_quality': 128, 'model_size': 1, 'parallelism': 1}",8.0,-1,5,-1
2026-05-05 18:03:02.534404,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,3,"{'data_quality': 11, 'model_size': 1, 'parallelism': 1}",1.06,-1,50,-1
2026-05-05 18:03:12.523040,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,3,"{'data_quality': 195, 'parallelism': 1}",5.97,-1,80,-1
2026-05-05 18:03:12.526729,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,32,"{'data_quality': 128, 'model_size': 1, 'parallelism': 1}",8.0,-1,5,-1
2026-05-05 18:03:12.529645,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,3,"{'data_quality': 11, 'model_size': 1, 'parallelism': 1}",1.06,-1,50,-1
2026-05-05 18:03:22.524089,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,3,"{'data_quality': 195, 'parallelism': 1}",5.97,-1,80,-1
2026-05-05 18:03:22.532474,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,22,"{'data_quality': 128, 'model_size': 1, 'parallelism': 1}",8.0,-1,5,-1
2026-05-05 18:03:22.536351,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,3,"{'data_quality': 11, 'model_size': 1, 'parallelism': 1}",1.06,-1,50,-1
2026-05-05 18:03:32.524678,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,3,"{'data_quality': 195, 'parallelism': 1}",5.97,-1,80,-1
2026-05-05 18:03:32.527744,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,14,"{'data_quality': 128, 'model_size': 1, 'parallelism': 1}",8.0,-1,5,-1
2026-05-05 18:03:32.531469,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,3,"{'data_quality': 11, 'model_size': 1, 'parallelism': 1}",1.06,-1,50,-1
2026-05-05 18:03:42.526071,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,3,"{'data_quality': 195, 'parallelism': 1}",5.97,-1,80,-1
2026-05-05 18:03:42.529237,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,19,"{'data_quality': 128, 'model_size': 1, 'parallelism': 1}",8.0,-1,5,-1
2026-05-05 18:03:42.532065,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,3,"{'data_quality': 11, 'model_size': 1, 'parallelism': 1}",1.06,-1,50,-1
2026-05-05 18:03:52.526316,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,3,"{'data_quality': 195, 'parallelism': 1}",5.97,-1,80,-1
2026-05-05 18:03:52.529321,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,17,"{'data_quality': 128, 'model_size': 1, 'parallelism': 1}",8.0,-1,5,-1
2026-05-05 18:03:52.532404,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,3,"{'data_quality': 11, 'model_size': 1, 'parallelism': 1}",1.06,-1,50,-1
2026-05-05 18:04:02.527768,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,3,"{'data_quality': 195, 'parallelism': 1}",5.97,-1,80,-1
2026-05-05 18:04:02.531008,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,17,"{'data_quality': 128, 'model_size': 1, 'parallelism': 1}",8.0,-1,5,-1
2026-05-05 18:04:02.534704,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,3,"{'data_quality': 11, 'model_size': 1, 'parallelism': 1}",1.06,-1,50,-1
2026-05-05 18:04:12.528431,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,10,"{'data_quality': 336, 'parallelism': 1}",1.0,-1,80,-1
2026-05-05 18:04:12.535880,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,317,"{'data_quality': 149, 'model_size': 2, 'parallelism': 1}",2.61,-1,2,-1
2026-05-05 18:04:12.544281,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 44, 'model_size': 1, 'parallelism': 1}",1.0,-1,50,-1
2026-05-05 18:04:22.529500,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,10,"{'data_quality': 336, 'parallelism': 1}",1.0,-1,80,-1
2026-05-05 18:04:22.539091,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,273,"{'data_quality': 149, 'model_size': 2, 'parallelism': 1}",2.61,-1,3,-1
2026-05-05 18:04:22.542780,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 44, 'model_size': 1, 'parallelism': 1}",1.0,-1,50,-1
2026-05-05 18:04:32.528858,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,11,"{'data_quality': 336, 'parallelism': 1}",1.0,-1,80,-1
2026-05-05 18:04:32.531420,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,269,"{'data_quality': 149, 'model_size': 2, 'parallelism': 1}",2.61,-1,3,-1
2026-05-05 18:04:32.540211,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 44, 'model_size': 1, 'parallelism': 1}",1.0,-1,50,-1
2026-05-05 18:04:42.529133,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,10,"{'data_quality': 336, 'parallelism': 1}",1.0,-1,80,-1
2026-05-05 18:04:42.531788,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,377,"{'data_quality': 149, 'model_size': 2, 'parallelism': 1}",2.61,-1,2,-1
2026-05-05 18:04:42.541842,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 44, 'model_size': 1, 'parallelism': 1}",1.0,-1,50,-1
2026-05-05 18:04:52.529343,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,11,"{'data_quality': 336, 'parallelism': 1}",1.0,-1,80,-1
2026-05-05 18:04:52.532208,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,282,"{'data_quality': 149, 'model_size': 2, 'parallelism': 1}",2.61,-1,2,-1
2026-05-05 18:04:52.541708,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 44, 'model_size': 1, 'parallelism': 1}",1.0,-1,50,-1
2026-05-05 18:05:02.531174,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,11,"{'data_quality': 336, 'parallelism': 1}",1.0,-1,80,-1
2026-05-05 18:05:02.537840,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,429,"{'data_quality': 149, 'model_size': 2, 'parallelism': 1}",2.61,-1,2,-1
2026-05-05 18:05:02.546537,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 44, 'model_size': 1, 'parallelism': 1}",1.0,-1,50,-1
