timestamp,service_type,container_id,avg_p_latency,s_config,cores,rps,throughput,cooldown
2026-05-04 15:26:17.066281,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,24,"{'data_quality': 550, 'parallelism': 1}",8.0,-1,80,-1
2026-05-04 15:26:17.070101,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,224,"{'data_quality': 224, 'model_size': 3, 'parallelism': 1}",8.0,-1,4,-1
2026-05-04 15:26:17.073739,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 30, 'model_size': 1, 'parallelism': 1}",8.0,-1,50,-1
2026-05-04 15:26:27.064883,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,"{'data_quality': 642, 'parallelism': 1}",7.0,-1,80,-1
2026-05-04 15:26:27.070672,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,508,"{'data_quality': 200, 'model_size': 3, 'parallelism': 1}",3.0,-1,0,-1
2026-05-04 15:26:27.074494,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,3,"{'data_quality': 11, 'model_size': 1, 'parallelism': 1}",8.0,-1,50,-1
2026-05-04 15:26:37.065160,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,5,"{'data_quality': 246, 'parallelism': 1}",6.0,-1,80,-1
2026-05-04 15:26:37.068714,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,198,"{'data_quality': 251, 'model_size': 2, 'parallelism': 1}",5.0,-1,4,-1
2026-05-04 15:26:37.071539,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 31, 'model_size': 1, 'parallelism': 1}",4.0,-1,50,-1
2026-05-04 15:26:47.065334,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,7,"{'data_quality': 277, 'parallelism': 1}",8.0,-1,80,-1
2026-05-04 15:26:47.069507,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,-1,"{'data_quality': 210, 'model_size': 3, 'parallelism': 1}",1.0,-1,0,-1
2026-05-04 15:26:47.074606,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 49, 'model_size': 1, 'parallelism': 1}",2.0,-1,50,-1
2026-05-04 15:26:57.066409,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,21,"{'data_quality': 552, 'parallelism': 1}",8.0,-1,80,-1
2026-05-04 15:26:57.070440,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,345,"{'data_quality': 225, 'model_size': 4, 'parallelism': 1}",8.0,-1,2,-1
